Algoritmo#Tamanho#Nthreads#Duração
Sequencial#100000#1#0,000303
Concorrente#100000#1#0,000624
Sequencial#100000#1#0,000211
Concorrente#100000#1#0,000414
Sequencial#100000#1#0,000219
Concorrente#100000#1#0,000427
Sequencial#100000#1#0,000339
Concorrente#100000#1#0,000603
Sequencial#100000#1#0,000321
Concorrente#100000#1#0,000607
Sequencial#100000#2#0,000310
Concorrente#100000#2#0,000475
Sequencial#100000#2#0,000220
Concorrente#100000#2#0,000341
Sequencial#100000#2#0,000309
Concorrente#100000#2#0,000452
Sequencial#100000#2#0,000212
Concorrente#100000#2#0,000368
Sequencial#100000#2#0,000323
Concorrente#100000#2#0,000452
Sequencial#100000#4#0,000322
Concorrente#100000#4#0,000418
Sequencial#100000#4#0,000322
Concorrente#100000#4#0,000437
Sequencial#100000#4#0,000311
Concorrente#100000#4#0,000418
Sequencial#100000#4#0,000218
Concorrente#100000#4#0,000418
Sequencial#100000#4#0,000300
Concorrente#100000#4#0,000468
Sequencial#1000000#1#0,002194
Concorrente#1000000#1#0,002593
Sequencial#1000000#1#0,002179
Concorrente#1000000#1#0,002622
Sequencial#1000000#1#0,002187
Concorrente#1000000#1#0,002605
Sequencial#1000000#1#0,002207
Concorrente#1000000#1#0,002582
Sequencial#1000000#1#0,002126
Concorrente#1000000#1#0,002533
Sequencial#1000000#2#0,002275
Concorrente#1000000#2#0,001561
Sequencial#1000000#2#0,002189
Concorrente#1000000#2#0,001582
Sequencial#1000000#2#0,002231
Concorrente#1000000#2#0,001505
Sequencial#1000000#2#0,002148
Concorrente#1000000#2#0,001540
Sequencial#1000000#2#0,002181
Concorrente#1000000#2#0,001428
Sequencial#1000000#4#0,003018
Concorrente#1000000#4#0,001173
Sequencial#1000000#4#0,002174
Concorrente#1000000#4#0,000989
Sequencial#1000000#4#0,002114
Concorrente#1000000#4#0,001130
Sequencial#1000000#4#0,002159
Concorrente#1000000#4#0,001035
Sequencial#1000000#4#0,002142
Concorrente#1000000#4#0,001094
Sequencial#10000000#1#0,022066
Concorrente#10000000#1#0,023724
Sequencial#10000000#1#0,022026
Concorrente#10000000#1#0,023620
Sequencial#10000000#1#0,022070
Concorrente#10000000#1#0,023790
Sequencial#10000000#1#0,022066
Concorrente#10000000#1#0,023700
Sequencial#10000000#1#0,022128
Concorrente#10000000#1#0,023650
Sequencial#10000000#2#0,022617
Concorrente#10000000#2#0,011998
Sequencial#10000000#2#0,022140
Concorrente#10000000#2#0,012183
Sequencial#10000000#2#0,022079
Concorrente#10000000#2#0,012210
Sequencial#10000000#2#0,022222
Concorrente#10000000#2#0,012074
Sequencial#10000000#2#0,022365
Concorrente#10000000#2#0,012035
Sequencial#10000000#4#0,022299
Concorrente#10000000#4#0,006388
Sequencial#10000000#4#0,021932
Concorrente#10000000#4#0,006508
Sequencial#10000000#4#0,022085
Concorrente#10000000#4#0,006391
Sequencial#10000000#4#0,022087
Concorrente#10000000#4#0,006482
Sequencial#10000000#4#0,022074
Concorrente#10000000#4#0,006646
Sequencial#100000000#1#0,221374
Concorrente#100000000#1#0,233210
Sequencial#100000000#1#0,226375
Concorrente#100000000#1#0,233014
Sequencial#100000000#1#0,220535
Concorrente#100000000#1#0,233748
Sequencial#100000000#1#0,221523
Concorrente#100000000#1#0,233462
Sequencial#100000000#1#0,219945
Concorrente#100000000#1#0,233695
Sequencial#100000000#2#0,221486
Concorrente#100000000#2#0,119261
Sequencial#100000000#2#0,225767
Concorrente#100000000#2#0,117518
Sequencial#100000000#2#0,234638
Concorrente#100000000#2#0,118854
Sequencial#100000000#2#0,221652
Concorrente#100000000#2#0,228034
Sequencial#100000000#2#0,220749
Concorrente#100000000#2#0,117846
Sequencial#100000000#4#0,221054
Concorrente#100000000#4#0,060160
Sequencial#100000000#4#0,221343
Concorrente#100000000#4#0,061112
Sequencial#100000000#4#0,221586
Concorrente#100000000#4#0,060590
Sequencial#100000000#4#0,222302
Concorrente#100000000#4#0,061539
Sequencial#100000000#4#0,221411
Concorrente#100000000#4#0,061330
